rank,name,profile,uid,changesets,map_changes,countries,editors,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
1,dmich9,https://www.openstreetmap.org/user/dmich9,7167859,37,361405,Canada,JOSM/1.5 (18907 en),330859,112,851,28709,318,17,517,20,2,0,0,0.0,0.0,0.0,0.0,14002.0,127.0,0.0,0.0,"{""source"": 28059, ""waterway"": 14002, ""natural"": 13990, ""type"": 517, ""intermittent"": 56, ""fixme"": 37, ""landform"": 8, ""area"": 2}","{""source"": 317, ""natural"": 164, ""waterway"": 127, ""type"": 20, ""name"": 3, ""old_name"": 2, ""wikipedia"": 2, ""intermittent"": 2, ""water"": 2, ""landform"": 1, ""area"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2,ryoro,https://www.openstreetmap.org/user/ryoro,623097,20,160225,Japan,JOSM/1.5 (18907 ja),138273,3162,148,18097,513,31,1,0,0,0,3,17740.0,205.0,3.0,286.0,0.0,2.0,1.0,12.0,"{""building"": 17740, ""landuse"": 294, ""natural"": 48, ""water"": 36, ""building:part"": 8, ""highway"": 3, ""leisure"": 3, ""sport"": 3, ""amenity"": 1, ""healthcare"": 1, ""name"": 1, ""layer"": 1, ""service"": 1, ""type"": 1}","{""highway"": 286, ""source"": 252, ""building"": 205, ""yh:WIDTH"": 84, ""yh:STRUCTURE"": 81, ""yh:TOTYUMONO"": 81, ""yh:TYPE"": 81, ""yh:WIDTH_RANK"": 81, ""name"": 43, ""shop"": 16, ""leisure"": 14, ""amenity"": 12, ""surface"": 7, ""layer"": 7, ""name:en"": 6, ""name:ja"": 6, ""lanes"": 6, ""service"": 5, ""landuse"": 4, ""ref"": 3, ""note"": 3, ""source_ref"": 3, ""bridge"": 3, ""KSJ2:curve_id"": 2, ""note:ja"": 2, ""waterway"": 2, ""noname"": 2, ""healthcare"": 2, ""description"": 2, ""office"": 2, ""brand"": 2, ""brand:wikidata"": 2, ""brand:wikipedia"": 2, ""access"": 2, ""denomination"": 2, ""religion"": 2, ""junction"": 1, ""KSJ2:COP_label"": 1, ""KSJ2:DFD"": 1, ""KSJ2:LOC"": 1, ""KSJ2:RIC"": 1, ""KSJ2:RIN"": 1, ""KSJ2:WSC"": 1, ""KSJ2:filename"": 1, ""KSJ2:river_id"": 1, ""source:ja"": 1, ""width"": 1, ""addr:block_number"": 1, ""addr:city"": 1, ""addr:neighbourhood"": 1, ""addr:postcode"": 1, ""addr:province"": 1, ""addr:quarter"": 1, ""website"": 1, ""craft"": 1, ""brand:ja"": 1, ""self_service"": 1, ""cuisine"": 1, ""grades"": 1, ""school:gender"": 1, ""wikidata"": 1, ""wikipedia"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
3,jmarchon,https://www.openstreetmap.org/user/jmarchon,9473778,37,156214,"Canada,United States of America","JOSM/1.5 (18907 en),StreetComplete 55.1,osm-revert 1.2.2.231214,Every Door Android 4.1",151106,784,587,3642,41,40,14,0,0,14,12,0.0,8.0,0.0,19.0,3177.0,7.0,1.0,1.0,"{""waterway"": 3177, ""natural"": 448, ""name"": 153, ""water"": 37, ""type"": 14, ""note"": 1, ""amenity"": 1, ""brand"": 1, ""brand:wikidata"": 1, ""check_date"": 1, ""vending"": 1}","{""highway"": 19, ""name"": 17, ""surface"": 17, ""lit"": 16, ""cycleway:both"": 9, ""maxspeed"": 9, ""sidewalk"": 9, ""tiger:cfcc"": 9, ""tiger:county"": 9, ""tiger:name_base"": 9, ""tiger:name_direction_prefix"": 9, ""lane_markings"": 8, ""building"": 8, ""waterway"": 7, ""lanes"": 7, ""addr:city"": 6, ""addr:housenumber"": 6, ""addr:postcode"": 6, ""addr:state"": 6, ""addr:street"": 6, ""covered"": 5, ""leisure"": 5, ""building:levels"": 5, ""roof:levels"": 5, ""footway"": 5, ""ref"": 4, ""natural"": 4, ""tactile_paving"": 3, ""barrier"": 2, ""kerb"": 2, ""emergency"": 2, ""fire_hydrant:type"": 2, ""bench"": 2, ""bin"": 2, ""bus"": 2, ""public_transport"": 2, ""shelter"": 2, ""website"": 2, ""sidewalk:left:surface"": 2, ""sidewalk:both:surface"": 2, ""roof:shape"": 2, ""bicycle"": 2, ""foot"": 2, ""segregated"": 2, ""access"": 2, ""check_date:lit"": 2, ""source:geometry"": 2, ""crossing"": 2, ""crossing:markings"": 2, ""fire_hydrant:position"": 1, ""source"": 1, ""electrified"": 1, ""railway"": 1, ""service"": 1, ""water"": 1, ""sidewalk:right:surface"": 1, ""cycleway:both:lane"": 1, ""cycleway:left:width"": 1, ""cycleway:right:width"": 1, ""parking:lane:both"": 1, ""smoothness"": 1, ""amenity"": 1, ""fee"": 1, ""parking"": 1, ""tourism"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
4,desk77,https://www.openstreetmap.org/user/desk77,3417100,43,75371,Russian Federation,JOSM/1.5 (18911 ru),662,63759,143,155,10619,23,1,9,0,0,57,152.0,10595.0,4.0,28.0,0.0,0.0,0.0,30.0,"{""building"": 152, ""addr:housenumber"": 90, ""addr:street"": 90, ""source:addr"": 88, ""highway"": 4, ""name"": 4, ""addr:city"": 1, ""addr:country"": 1, ""maxspeed"": 1, ""ref"": 1, ""surface"": 1, ""type"": 1}","{""building"": 10595, ""addr:housenumber"": 10532, ""addr:street"": 10530, ""source:addr"": 10525, ""name"": 103, ""entrance"": 53, ""building:levels"": 53, ""shop"": 50, ""amenity"": 30, ""highway"": 28, ""addr:city"": 24, ""roof:colour"": 9, ""roof:shape"": 9, ""type"": 9, ""ref"": 6, ""brand"": 6, ""level"": 6, ""brand:en"": 5, ""brand:wikidata"": 5, ""opening_hours"": 5, ""addr:country"": 5, ""start_date"": 5, ""healthcare"": 5, ""leisure"": 4, ""religion"": 4, ""contact:phone"": 3, ""contact:website"": 3, ""name:en"": 3, ""name:ru"": 3, ""operator"": 3, ""addr:postcode"": 3, ""denomination"": 3, ""brand:wikipedia"": 2, ""power"": 2, ""addr:place"": 2, ""office"": 2, ""layer"": 2, ""ref:temples.ru"": 2, ""description"": 2, ""building:material"": 2, ""was:shop"": 1, ""dispensing"": 1, ""access"": 1, ""alt_name"": 1, ""contact:email"": 1, ""contact:facebook"": 1, ""contact:ok"": 1, ""contact:vk"": 1, ""ref:website"": 1, ""location"": 1, ""substation"": 1, ""addr:quarter"": 1, ""government"": 1, ""short_name"": 1, ""was:building"": 1, ""cuisine"": 1, ""sport"": 1, ""addr:suburb"": 1, ""addr:district"": 1, ""addr:region"": 1, ""email"": 1, ""phone"": 1, ""preschool"": 1, ""brand:ru"": 1, ""source"": 1, ""tourism"": 1, ""maxspeed"": 1, ""surface"": 1, ""barrier"": 1, ""service"": 1, ""construction"": 1, ""area:highway"": 1, ""network"": 1, ""route"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
5,nitemoon,https://www.openstreetmap.org/user/nitemoon,15815701,99,32285,United States of America,Rapid 2.2.1,27778,21,0,4480,6,0,0,0,0,0,0,4457.0,0.0,23.0,6.0,0.0,0.0,0.0,0.0,"{""source"": 4480, ""building"": 4457, ""highway"": 23}","{""highway"": 6, ""name"": 3, ""service"": 2, ""tiger:cfcc"": 1, ""tiger:county"": 1, ""access"": 1, ""cycleway"": 1, ""lanes"": 1, ""maxspeed"": 1, ""oneway"": 1, ""source:cycleway"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
6,UNGSC - Dimitrios,https://www.openstreetmap.org/user/UNGSC%20-%20Dimitrios,11135974,6,31525,Central African Republic,JOSM/1.5 (18907 en),30735,18,90,523,36,3,109,11,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""natural"": 220, ""landuse"": 125, ""type"": 109, ""place"": 6}","{""type"": 11, ""natural"": 9, ""water"": 3, ""landuse"": 2, ""place"": 1}","#UNGSC,#UNMappers,#Dimitrios,#Rivers",2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
7,turankaya74,https://www.openstreetmap.org/user/turankaya74,1845527,24,29523,Turkey,JOSM/1.5 (18907 de),26599,51,2703,53,81,18,1,14,3,0,2,0.0,0.0,0.0,5.0,0.0,19.0,0.0,0.0,"{""source"": 54, ""natural"": 52, ""wetland"": 1, ""landuse"": 1, ""description:tr"": 1, ""name"": 1, ""name:de"": 1, ""name:en"": 1, ""name:tr"": 1, ""note"": 1, ""seasonal"": 1, ""type"": 1, ""wikidata"": 1, ""wikimedia_commons"": 1, ""wikipedia"": 1}","{""source"": 58, ""natural"": 29, ""waterway"": 19, ""name"": 17, ""type"": 14, ""name:en"": 13, ""name:tr"": 12, ""wikimedia_commons"": 12, ""wikidata"": 11, ""wikipedia"": 11, ""water"": 10, ""intermittent"": 9, ""name:de"": 9, ""name:ru"": 9, ""wikipedia:en"": 6, ""wikipedia:ru"": 6, ""highway"": 5, ""landuse"": 5, ""description:tr"": 5, ""note"": 3, ""tracktype"": 2, ""boat"": 1, ""ref"": 1, ""area"": 1, ""place"": 1, ""salt"": 1, ""alt_name"": 1, ""route"": 1, ""toll"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
8,mzve,https://www.openstreetmap.org/user/mzve,581213,14,29300,South Africa,iD 2.27.3,27820,4,0,1472,4,0,0,0,0,0,0,1455.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,"{""building"": 1455, ""natural"": 12, ""water"": 12, ""highway"": 5, ""layer"": 1, ""tunnel"": 1}","{""highway"": 3, ""surface"": 3, ""ref"": 2, ""natural"": 1, ""source"": 1, ""water"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
9,revent,https://www.openstreetmap.org/user/revent,1887977,30,23426,United States of America,JOSM/1.5 (18907 en),15158,26,7914,164,25,108,7,24,0,0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""datum:horizontal"": 164, ""datum:horizontal:epoch"": 164, ""source"": 164, ""admin_level"": 7, ""border_type"": 7, ""boundary"": 7, ""gnis:feature_id"": 7, ""name"": 7, ""official_name"": 7, ""population"": 7, ""population:date"": 7, ""source:population"": 7, ""type"": 7, ""wikidata"": 7, ""wikipedia"": 7, ""website"": 3, ""name:en"": 2, ""name:uk"": 2}","{""name"": 51, ""gnis:feature_id"": 48, ""place"": 26, ""boundary"": 25, ""source"": 25, ""ele"": 24, ""datum:horizontal"": 24, ""datum:horizontal:epoch"": 24, ""admin_level"": 24, ""border_type"": 24, ""official_name"": 24, ""population"": 24, ""source:population"": 24, ""type"": 24, ""wikidata"": 24, ""wikipedia"": 24, ""population:date"": 23, ""website"": 18, ""note"": 1, ""fixme"": 1, ""populatiob:date"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
10,PLGedit,https://www.openstreetmap.org/user/PLGedit,4403393,76,23231,Romania,"Rapid 2.1.1,Rapid 2.2.1,iD 2.27.3",17347,1850,220,3594,207,8,0,5,0,9,14,3538.0,26.0,26.0,103.0,17.0,14.0,1.0,8.0,"{""building"": 3538, ""source"": 3525, ""highway"": 26, ""waterway"": 17, ""surface"": 15, ""layer"": 14, ""lanes"": 13, ""maxspeed"": 13, ""landuse"": 8, ""roof:shape"": 8, ""man_made"": 7, ""tunnel"": 7, ""bridge"": 7, ""name:hu"": 6, ""height"": 6, ""roof:height"": 6, ""tower:construction"": 6, ""tower:type"": 6, ""natural"": 4, ""barrier"": 4, ""int_ref"": 4, ""nat_ref"": 4, ""ref"": 4, ""smoothness"": 4, ""surface_survey"": 4, ""oneway"": 4, ""name"": 2, ""residential"": 2, ""fence_type"": 2, ""leisure"": 2, ""historic"": 1, ""ford"": 1, ""direction"": 1, ""stop"": 1, ""artwork_type"": 1, ""tourism"": 1, ""access"": 1, ""drinking_water"": 1, ""pump"": 1, ""roof"": 1, ""entrance"": 1, ""industrial"": 1, ""wetland"": 1, ""amenity"": 1, ""service"": 1, ""area"": 1, ""lit"": 1, ""sport"": 1, ""addr:city"": 1, ""addr:housenumber"": 1}","{""source"": 119, ""highway"": 103, ""surface"": 77, ""lanes"": 74, ""maxspeed"": 67, ""CLC:explanation"": 40, ""CLC:code"": 39, ""CLC:shapeId"": 39, ""CLC:year"": 39, ""landuse"": 39, ""source:ro"": 39, ""name"": 37, ""name:hu"": 37, ""oneway"": 27, ""building"": 26, ""ref"": 19, ""waterway"": 14, ""amenity"": 8, ""wikidata"": 8, ""smoothness"": 8, ""natural"": 7, ""wikipedia"": 7, ""lit"": 7, ""roof:shape"": 6, ""barrier"": 5, ""direction"": 5, ""bridge"": 5, ""layer"": 5, ""check_date"": 5, ""network"": 5, ""route"": 5, ""type"": 5, ""wetland"": 4, ""building:levels"": 4, ""boat"": 3, ""leaf_type"": 3, ""surface_survey"": 3, ""denomination"": 3, ""religion"": 3, ""roof:height"": 3, ""name:en"": 3, ""crossing:island"": 2, ""tactile_paving"": 2, ""name:de"": 2, ""int_ref"": 2, ""nat_ref"": 2, ""url:miserend"": 2, ""industrial"": 2, ""description:fr"": 2, ""name:fr"": 2, ""name:nl"": 2, ""name:ro"": 2, ""colour"": 2, ""crossing"": 1, ""crossing:markings"": 1, ""crossing:barrier"": 1, ""crossing:bell"": 1, ""crossing:light"": 1, ""maxheight"": 1, ""railway"": 1, ""ford"": 1, ""addr:city"": 1, ""addr:housenumber"": 1, ""historic"": 1, ""drinking_water"": 1, ""leaf_cycle"": 1, ""sidewalk"": 1, ""width"": 1, ""inscription"": 1, ""bath:open_air"": 1, ""fence_type"": 1, ""height"": 1, ""shower"": 1, ""museum"": 1, ""tourism"": 1, ""maxspeed:type"": 1, ""smoothness:date"": 1, ""service"": 1, ""intermittent"": 1, ""townhall:type"": 1, ""complete"": 1, ""jel"": 1, ""operator"": 1, ""osmc:symbol"": 1, ""pilgrimage"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
